,,,,,,,,,,,,,,,,,,,,
,,Nº REGISTRO,PLANOS (HIPERVINCULO),WEIGHT,MEDIDAS,ESCALA,GENERAL TOLERANCE,Nº ALMACENAJE,MATERIAL,COATING,CODE,DWG.,DWG. DATE,APPR.,APPR. DATE,COMPANY,Column 19,PAPER,ENLACE,COMMENTS
,1,T00,2.5 TELESCOPE,43T,A1,1:25,N/A,T01.04.18,D/S,D/S,,A.N.N,13/11/1985,P.H.J,14/3/1986,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,2,T01,TOP UNIT,430KG,A1,"1:2,5",N/A,T01.04.18,D/S,D/S,,A.N.N,1/6/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",,
,3,T01.00.08,LIFTING PIECE,"0,5KG",A3,1:1,DIN 7168M,T01.04.18,ST 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,18/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-08_Lifting_Piece.jpeg,
,4,T01.00.09,FIXATION PIECE,"0,08KG",A4,1:1,DIN 7168M,T01.04.18,ST 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,16/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-09_Fixation_Piece.jpeg,
,5,T01.00.10,CIRCULAR SPRING LEAF,"0,7KG",A3,"1:2,5",DIN 7168F,T01.04.18,55 Si7,BLACK CHEMICAL OXYDATION,,A.N.N,6/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-10_Circular_Spring_Leaf.jpeg,
,6,T01.00.11,DISTANCE PIECE,"0,16KG",A4,1:1,DIN 7168F,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,16/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-11_Distance_Piece.jpeg,
,7,T01.00.12A,SPIDER UNIT,"139,30KG",A1,"1:2,5",DIN 7168M,T01.04.18,St37-2,PAINT,,A.N.N,13/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-12A_Spider_Unit.jpeg,
,8,T01.00.12B,SPIDER UNIT,"139,30KG",A1,"1:2,5",DIN 7168M,T01.04.18,St37-2,PAINT,,A.N.N,20/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-12B_Spider_Unit.jpeg,
,9,T01.00.12C,SPIDER UNIT,"139,30KG",A1,"1:2,5",DIN 7168M,T01.04.18,St37-2,PAINT,,A.N.N,13/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-12C_Spider_Unit.jpeg,
,10,T01.00.13,COUNTERWEIGTH HOLDER,15KG,A2,1:1,DIN 7168M,T01.04.18,St37-2,PAINT,,A.N.N,11/9/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-13_Counterweight_Holder.jpeg,
